Username,Created_at,ID,Text,RetweetCount,Name,Location,URL,Description,TweetCount,FollowersCount,FriendsCount,Hashtags,mentions
tLAINE_,2017-03-03 01:28:54,837474834279972864,RT @_brittney_kay: I actually really love  Selena and The Weeknd together. #sorrynotsorry,52,Tayy,st petes,None,scorpio,16002,1073,479,sorrynotsorry,_brittney_kay
BiheSizeBeliesf,2017-03-03 01:28:20,837474690218217472,RT @The_Glitterman: Just cant stop with pics of my cats.. #Sorrynotsorry #CatsOfTwitter #cat https://t.co/OgwvIzDBdz,48,Damon,"Central Florida, Orlando Area",http://t.co/bdN2xdty4X,"LDS, volunteer seminary teacher, entrepreneur, software engineer, sailor, father of 5 great children, husband of  best wife in the  world.",2543,49,899,"Sorrynotsorry,CatsOfTwitter,cat",The_Glitterman
cdnkyak,2017-03-03 01:27:51,837474570886070278,@NBCTheVoice @Its_BRoyal @gwenstefani Great steal!! When Brandon sets the stage on 🔥🔥🔥 let it BURN!! #SorryNotSorry   #VoicePremiere,0,Cdnkyak,T-Dot & Carriacou Gda,None,"Ask me a question, and I will tell no lies...",422,38,162,"SorryNotSorry,VoicePremiere","NBCTheVoice,Its_BRoyal,gwenstefani"
shaneeisme,2017-03-03 01:27:18,837474430846701568,🍕😍 #pizzarewards #yespineappleisagoodtopping #sorrynotsorry https://t.co/1HZBa17ERO,0,Yolanda,NC,None,,17451,72,197,"pizzarewards,yespineappleisagoodtopping,sorrynotsorry",
ojhndpattno,2017-03-03 01:27:12,837474405731160066,RT @The_Glitterman: Just cant stop with pics of my cats.. #Sorrynotsorry #CatsOfTwitter #cat https://t.co/OgwvIzDBdz,48,John D.,"Mormonville, Utah",None,", Photographer,  Enthusiast.",2636,30,1128,"Sorrynotsorry,CatsOfTwitter,cat",The_Glitterman
BiteMe104,2017-03-03 01:26:49,837474310843482113,When people change you and end up seeing your worst. #SorrynotSorry,0,Lisa,,None,"Swallowed words act like caustic acids, eating at our gut. Paul Rogat Loeb",7022,176,285,SorrynotSorry,
hometownhockey_,2017-03-03 01:26:32,837474237069721600,@MedicineHatNews #sorrynotsorry,0,Hometown Hockey,Across Canada,http://t.co/QghVdVLXul,Celebrate our community. Celebrate our game. Ron MacLean shares stories as he travels the country with the Rogers Hometown Hockey Tour.,13144,29157,581,sorrynotsorry,MedicineHatNews
brittanytschida,2017-03-03 01:26:17,837474173224169473,@morgxelizabeth @Nateviberg @CmarieT43 @SydneyMiller23 #sorrynotsorry💁🏻,0,britt,,None,,591,95,159,sorrynotsorry,"morgxelizabeth,Nateviberg,CmarieT43,SydneyMiller23"
MyriJTnd,2017-03-03 01:26:10,837474146242088960,RT @The_Glitterman: Just cant stop with pics of my cats.. #Sorrynotsorry #CatsOfTwitter #cat https://t.co/OgwvIzDBdz,48,Myrdin,Northern Virginia,https://t.co/MK8UnWQbP2,Writer / @MichaelJFoxOrg  @TeamFox  & Ultra-marathoner/ @charitymiles All Star Athlete,907,18,487,"Sorrynotsorry,CatsOfTwitter,cat",The_Glitterman
RiddlewpmSheri,2017-03-03 01:25:53,837474075647823872,@onr1985d @chelseahandler being negative??? Are you kidding me. I'm done standing by while these morons trash our country! #sorrynotsorry,0,Sheri,Marco Island Fl,None,"Mother of 4 boys, huge Trump supporter! spread love not hate",10005,297,209,sorrynotsorry,"onr1985d,chelseahandler"
TheDoctorBill,2017-03-03 01:25:45,837474042303156224,"@goldengateblond 

This is EXACTLY how I feel about Big Bang Theory #sorrynotsorry",0,🔬Doctor Bill🔬,USA,None,A doctor called Bill in the USA https://t.co/niFVifcnfW,8800,348,565,sorrynotsorry,goldengateblond
mother_runner_,2017-03-03 01:25:40,837474019888742400,"Wasn't supposed to be a run day for me, but I grabbed a short 1.25 on the TM at the gym this morning. #sorrynotsorry",0,Leslie,"Tennessee, USA",None,•wife•mother•grandmother•run•gym•food•,2972,1187,795,sorrynotsorry,
F16B,2017-03-03 01:25:25,837473957989257216,There never IS a good time to impose a travel ban. #sorrynotsorry https://t.co/aE0E5VnAYh,0,Fighting Falcon,,None,Politics and Olympics junkie.,2369,92,78,sorrynotsorry,
Cristelittaaa_,2017-03-03 01:24:49,837473807438761984,"RT @Aylinnxoxo: Everyone is on like baby #2 and I'm still trying to figure out if I even like people lol. 
#sorrynotsorry",1,cristel.,"slc ,ut ✨",None,Gemini. SC: cristelg80,12406,639,287,sorrynotsorry,Aylinnxoxo
psimonmubic,2017-03-03 01:23:47,837473544930013184,RT @The_Glitterman: Just cant stop with pics of my cats.. #Sorrynotsorry #CatsOfTwitter #cat https://t.co/OgwvIzDBdz,48,Parker,Missoula Montana & Los Angeles,https://t.co/hQdxUHSmWy,• singer/songwriter • musician • neonatologist • Instagram:  psimonmusic & Facebook: Parker Simon,639,23,622,"Sorrynotsorry,CatsOfTwitter,cat",The_Glitterman
Nanethee,2017-03-03 01:23:20,837473433890000896,Y no solo pendeja también fea 😊 #Sorrynotsorry https://t.co/Zm6HShPizq,0,Ojos Color Sol 🐼,,https://t.co/NsMXNXXYFr,"Divina, divina sonrisa, abrazo de Luna de Luna llena ❤

Amante del derecho y los pandas.",21846,664,257,Sorrynotsorry,
johnscitmth,2017-03-03 01:22:39,837473259121750016,RT @The_Glitterman: Just cant stop with pics of my cats.. #Sorrynotsorry #CatsOfTwitter #cat https://t.co/OgwvIzDBdz,48,John,"Simsbury, Connecticut",https://t.co/aeuV2k7oWG,"Songwriter, Musician, MA in Education from Columbia , 2014 Buffalo Marathon Finisher, walked the Camino de Santiago  in '13. Proudly from Buffalo, NY",494,23,327,"Sorrynotsorry,CatsOfTwitter,cat",The_Glitterman
SensualHospita1,2017-03-03 01:22:22,837473188003053568,"@RimEstLa je veux un certificat svp, merci ! #sorrynotsorry",0,SensualHospital,,None,,5,1,25,sorrynotsorry,RimEstLa
ssjaipom,2017-03-03 01:21:38,837473003420147712,I'm So Original it hurts #SorryNotSorry https://t.co/2JSpPrIF6E,0,SSjaipom,"Bronx, NY",https://t.co/S4wIcRM9gE,Booking: harveydeuxmusic@gmail.com   IG: harveydeuxwcmg   Youtube Gaming channel: https://t.co/M3NqYCusUZ,1608,499,197,SorryNotSorry,
